ticker,asset,country,name,active,first_seen,last_seen
000020 KR,equity,KR,,,2008-05-09,2023-06-23
000030 KR,equity,KR,,,2003-07-04,2019-02-08
000050 KR,equity,KR,,,2016-09-30,2016-11-25
000060 KR,equity,KR,,,2006-04-07,2023-02-17
000070 KR,equity,KR,,,2006-01-20,2021-12-31
000080 KR,equity,KR,,1,2010-10-08,2025-04-25
000100 KR,equity,KR,,1,2003-06-20,2025-04-25
000120 KR,equity,KR,,1,2004-12-10,2025-04-25
000140 KR,equity,KR,,,2012-11-02,2013-01-18
000150 KR,equity,KR,,1,2005-07-15,2025-04-25
000180 KR,equity,KR,,,2015-12-25,2022-05-06
000210 KR,equity,KR,,,2003-06-20,2025-03-28
000230 KR,equity,KR,,,2014-01-31,2016-09-30
000240 KR,equity,KR,,,2003-03-21,2025-04-11
000250 KR,equity,KR,,1,2015-01-09,2025-04-25
000270 KR,equity,KR,,1,2003-01-03,2025-04-25
000360 KR,equity,KR,,,2007-05-25,2007-08-31
000370 KR,equity,KR,,,2007-10-05,2024-10-18
000400 KR,equity,KR,,,2017-06-30,2018-03-23
000480 KR,equity,KR,,,2007-10-05,2007-10-26
000490 KR,equity,KR,,,2022-06-24,2025-03-28
000520 KR,equity,KR,,,2025-01-24,2025-03-28
000610 KR,equity,KR,,,2007-10-19,2008-08-01
000640 KR,equity,KR,,,2005-04-01,2021-09-10
000660 KR,equity,KR,,1,2003-10-24,2025-04-25
000670 KR,equity,KR,,,2012-03-23,2025-04-04
000700 KR,equity,KR,,,2003-06-20,2016-05-13
000720 KR,equity,KR,,1,2003-06-20,2025-04-25
000800 KR,equity,KR,,,2006-10-27,2008-09-26
000810 KR,equity,KR,,1,2003-01-03,2025-04-25
000830 KR,equity,KR,,,2003-01-24,2015-08-28
000880 KR,equity,KR,,1,2004-01-23,2025-04-25
000990 KR,equity,KR,,1,2007-10-05,2025-04-25
001040 KR,equity,KR,,1,2003-01-03,2025-04-25
001060 KR,equity,KR,,,2006-01-13,2025-03-21
001120 KR,equity,KR,,1,2003-09-19,2025-04-25
001130 KR,equity,KR,,,2013-05-10,2022-06-17
001200 KR,equity,KR,,,2005-04-08,2024-11-29
001210 KR,equity,KR,,,2004-07-02,2011-02-18
001230 KR,equity,KR,,,2003-01-03,2023-07-21
001250 KR,equity,KR,,,2012-02-10,2024-09-27
001260 KR,equity,KR,,,2008-04-25,2009-10-30
001290 KR,equity,KR,,,2007-10-05,2008-01-18
001300 KR,equity,KR,,,2003-05-23,2014-06-20
001310 KR,equity,KR,,,2006-10-27,2007-11-30
001340 KR,equity,KR,,,2021-09-24,2024-12-06
001360 KR,equity,KR,,,2015-09-25,2023-06-30
001390 KR,equity,KR,,,2017-09-08,2024-04-05
001430 KR,equity,KR,,,2007-04-20,2025-03-14
001440 KR,equity,KR,,1,2006-06-09,2025-04-25
001450 KR,equity,KR,,1,2004-03-26,2025-04-25
001470 KR,equity,KR,,,2006-12-08,2024-08-16
001500 KR,equity,KR,,,2008-02-15,2021-08-20
001510 KR,equity,KR,,,2007-05-18,2023-04-21
001520 KR,equity,KR,,,2008-01-04,2022-04-01
001530 KR,equity,KR,,,2022-06-24,2025-04-18
001540 KR,equity,KR,,,2015-11-13,2016-06-17
001570 KR,equity,KR,,,2022-07-29,2025-03-07
001630 KR,equity,KR,,,2006-05-05,2021-07-16
001680 KR,equity,KR,,1,2005-10-14,2025-04-25
001720 KR,equity,KR,,,2007-11-02,2007-11-02
001740 KR,equity,KR,,,2006-05-12,2024-12-27
001750 KR,equity,KR,,,2007-10-12,2008-06-27
001780 KR,equity,KR,,,2015-09-25,2024-05-31
001790 KR,equity,KR,,1,2022-06-24,2025-04-25
001800 KR,equity,KR,,1,2003-06-20,2025-04-25
001820 KR,equity,KR,,,2017-09-22,2024-10-18
001830 KR,equity,KR,,,2006-01-20,2007-04-20
001880 KR,equity,KR,,,2007-10-05,2015-04-17
002020 KR,equity,KR,,,2006-11-24,2022-01-28
002030 KR,equity,KR,,,2013-09-27,2013-11-01
002150 KR,equity,KR,,,2022-11-11,2022-11-11
002210 KR,equity,KR,,,2020-03-13,2021-09-24
002240 KR,equity,KR,,,2007-10-05,2024-05-24
002270 KR,equity,KR,,,2008-03-28,2021-07-09
002300 KR,equity,KR,,,2009-08-07,2009-09-18
002310 KR,equity,KR,,,2018-03-23,2024-05-03
002320 KR,equity,KR,,,2006-05-19,2024-03-22
002350 KR,equity,KR,,,2009-05-15,2023-06-09
002360 KR,equity,KR,,,2016-07-15,2018-05-11
002380 KR,equity,KR,,1,2003-05-23,2025-04-25
002390 KR,equity,KR,,,2016-04-08,2021-06-11
002450 KR,equity,KR,,,2014-12-05,2018-06-01
002460 KR,equity,KR,,,2007-10-05,2022-07-08
002550 KR,equity,KR,,,2003-10-24,2017-07-14
002620 KR,equity,KR,,,2014-09-12,2017-02-10
002630 KR,equity,KR,,,2015-10-09,2020-09-11
002700 KR,equity,KR,,,2016-12-23,2022-06-03
002710 KR,equity,KR,,1,2022-11-25,2025-04-25
002780 KR,equity,KR,,,2009-10-09,2011-07-29
002790 KR,equity,KR,,1,2003-01-03,2025-04-25
002820 KR,equity,KR,,,2015-10-23,2015-10-23
002900 KR,equity,KR,,,2022-06-24,2024-01-26
002920 KR,equity,KR,,,2014-09-26,2014-10-03
002960 KR,equity,KR,,,2014-02-07,2021-06-11
002990 KR,equity,KR,,,2004-07-02,2023-01-27
003000 KR,equity,KR,,,2008-01-25,2024-04-19
003030 KR,equity,KR,,1,2011-08-05,2025-04-25
003060 KR,equity,KR,,,2015-09-25,2023-08-18
003070 KR,equity,KR,,,2005-10-14,2022-12-02
003090 KR,equity,KR,,,2016-04-22,2024-11-01
003100 KR,equity,KR,,,2022-06-24,2023-04-28
003120 KR,equity,KR,,,2008-06-13,2008-06-20
003160 KR,equity,KR,,1,2013-09-27,2025-04-25
003190 KR,equity,KR,,,2010-01-08,2013-03-15
003220 KR,equity,KR,,,2014-01-17,2024-11-01
003230 KR,equity,KR,,1,2017-09-29,2025-04-25
003240 KR,equity,KR,,,2006-09-08,2024-03-08
003280 KR,equity,KR,,,2014-09-05,2016-09-23
003300 KR,equity,KR,,,2003-06-20,2018-08-24
003380 KR,equity,KR,,,2019-09-27,2024-03-29
003410 KR,equity,KR,,,2004-01-23,2024-03-15
003450 KR,equity,KR,,,2003-01-24,2016-10-14
003470 KR,equity,KR,,,2005-11-04,2021-11-12
003480 KR,equity,KR,,,2007-08-31,2014-03-07
003490 KR,equity,KR,,1,2003-01-03,2025-04-25
003520 KR,equity,KR,,,2012-09-28,2023-02-24
003530 KR,equity,KR,,,2006-11-17,2025-04-04
003540 KR,equity,KR,,,2003-02-21,2024-04-12
003550 KR,equity,KR,,1,2003-01-03,2025-04-25
003560 KR,equity,KR,,,2006-10-06,2021-07-23
003570 KR,equity,KR,,,2006-05-19,2016-05-27
003580 KR,equity,KR,,,2021-07-23,2024-04-19
003600 KR,equity,KR,,,2003-01-03,2015-07-24
003620 KR,equity,KR,,,2005-10-07,2018-02-16
003670 KR,equity,KR,,1,2010-12-17,2025-04-25
003690 KR,equity,KR,,,2003-09-19,2025-04-11
003720 KR,equity,KR,,,2011-10-14,2012-03-16
003850 KR,equity,KR,,,2013-09-27,2024-12-27
003920 KR,equity,KR,,,2007-09-14,2024-12-06
003940 KR,equity,KR,,,2015-04-24,2015-07-31
004000 KR,equity,KR,,1,2003-01-03,2025-04-25
004010 KR,equity,KR,,,2006-10-06,2012-12-21
004020 KR,equity,KR,,1,2003-06-20,2025-04-25
004130 KR,equity,KR,,,2003-11-21,2018-11-30
004150 KR,equity,KR,,,2003-11-21,2017-12-22
004170 KR,equity,KR,,1,2003-01-03,2025-04-25
004200 KR,equity,KR,,,2006-09-15,2007-11-02
004250 KR,equity,KR,,,2022-06-24,2023-06-23
004310 KR,equity,KR,,,2020-10-09,2021-07-16
004360 KR,equity,KR,,,2007-10-05,2023-06-09
004370 KR,equity,KR,,1,2003-01-03,2025-04-25
004380 KR,equity,KR,,,2017-04-14,2023-04-21
004430 KR,equity,KR,,,2010-10-22,2024-01-26
004490 KR,equity,KR,,1,2009-02-13,2025-04-25
